x,y,z,Date
1.38,0.74,350.69,23-08-2023 13:53:33.303
1.42,2.02,350.68,23-08-2023 13:53:33.341
1.19,4.01,350.84,23-08-2023 13:53:33.530
1.04,3.93,351.07,23-08-2023 13:53:33.812
1.08,1.84,351.19,23-08-2023 13:53:33.906
1.11,1.15,351.23,23-08-2023 13:53:34.080
1.16,2.17,351.30,23-08-2023 13:53:34.271
1.13,2.34,351.41,23-08-2023 13:53:34.451
1.05,1.93,351.50,23-08-2023 13:53:34.617
0.81,2.76,351.73,23-08-2023 13:53:34.822
0.73,3.06,351.97,23-08-2023 13:53:35.000
0.97,1.87,352.12,23-08-2023 13:53:35.246
1.28,1.36,352.25,23-08-2023 13:53:35.372
1.30,2.13,352.42,23-08-2023 13:53:35.546
1.33,2.42,352.52,23-08-2023 13:53:35.733
1.35,2.50,352.63,23-08-2023 13:53:35.931
1.02,3.42,352.86,23-08-2023 13:53:36.100
0.71,3.36,353.18,23-08-2023 13:53:36.280
0.81,1.27,353.39,23-08-2023 13:53:36.467
1.21,-0.08,353.43,23-08-2023 13:53:36.644
1.16,1.65,353.56,23-08-2023 13:53:36.845
1.01,3.87,353.86,23-08-2023 13:53:37.070
1.26,3.87,354.07,23-08-2023 13:53:37.216
1.29,2.14,354.23,23-08-2023 13:53:37.379
1.11,1.10,354.36,23-08-2023 13:53:37.568
1.13,1.66,354.42,23-08-2023 13:53:37.754
0.97,2.85,354.52,23-08-2023 13:53:37.927
0.81,3.03,354.76,23-08-2023 13:53:38.111
1.05,2.09,354.97,23-08-2023 13:53:38.418
1.37,0.97,355.03,23-08-2023 13:53:38.526
1.06,1.42,355.08,23-08-2023 13:53:38.720
0.91,2.66,355.15,23-08-2023 13:53:38.852
1.07,2.17,355.23,23-08-2023 13:53:39.030
1.17,1.53,355.28,23-08-2023 13:53:39.232
1.15,3.38,355.32,23-08-2023 13:53:40.082
1.03,4.55,355.41,23-08-2023 13:53:40.082
0.96,2.61,355.46,23-08-2023 13:53:40.083
0.91,0.39,355.44,23-08-2023 13:53:40.084
0.93,0.75,355.48,23-08-2023 13:53:40.123
1.25,2.28,355.49,23-08-2023 13:53:40.477
1.38,2.83,355.47,23-08-2023 13:53:40.491
1.21,3.10,355.48,23-08-2023 13:53:40.926
1.14,3.03,355.46,23-08-2023 13:53:40.927
1.24,1.48,355.34,23-08-2023 13:53:41.210
1.20,0.61,355.18,23-08-2023 13:53:41.218
1.04,2.46,355.13,23-08-2023 13:53:41.456
0.90,4.08,355.16,23-08-2023 13:53:41.607
0.98,3.37,355.20,23-08-2023 13:53:42.931
1.15,1.67,355.17,23-08-2023 13:53:42.931
1.04,1.18,355.03,23-08-2023 13:53:42.932
0.86,2.47,354.93,23-08-2023 13:53:42.932
1.03,2.69,354.93,23-08-2023 13:53:42.932
