x,y,z,Date
1.15,2.39,12.14,23-08-2023 13:48:15.123
1.19,0.19,12.35,23-08-2023 13:48:15.314
1.09,1.78,12.69,23-08-2023 13:48:15.953
0.94,4.00,13.26,23-08-2023 13:48:15.953
1.11,2.72,13.78,23-08-2023 13:48:15.954
1.33,0.96,14.15,23-08-2023 13:48:16.049
1.16,2.50,14.60,23-08-2023 13:48:16.252
0.94,4.18,15.23,23-08-2023 13:48:16.414
1.07,2.40,15.83,23-08-2023 13:48:16.597
1.14,0.11,16.33,23-08-2023 13:48:16.767
0.93,0.99,16.86,23-08-2023 13:48:16.961
0.90,2.78,17.38,23-08-2023 13:48:17.138
1.18,2.40,17.81,23-08-2023 13:48:17.331
1.36,1.85,18.23,23-08-2023 13:48:17.513
1.15,2.73,18.70,23-08-2023 13:48:17.705
0.97,3.11,19.19,23-08-2023 13:48:18.717
1.05,2.38,19.67,23-08-2023 13:48:18.717
1.01,2.21,20.11,23-08-2023 13:48:18.718
0.98,2.61,20.54,23-08-2023 13:48:18.718
0.95,2.18,20.98,23-08-2023 13:48:18.719
0.98,1.39,21.47,23-08-2023 13:48:18.785
1.24,1.61,21.88,23-08-2023 13:48:18.984
1.54,2.19,22.25,23-08-2023 13:48:19.176
1.30,2.04,22.65,23-08-2023 13:48:19.348
0.88,1.88,23.09,23-08-2023 13:48:19.534
1.03,2.54,23.54,23-08-2023 13:48:19.724
1.09,3.10,23.98,23-08-2023 13:48:19.900
0.94,2.74,24.48,23-08-2023 13:48:20.093
1.09,1.67,24.96,23-08-2023 13:48:20.283
1.23,1.34,25.43,23-08-2023 13:48:20.449
1.07,2.35,25.84,23-08-2023 13:48:20.630
0.92,2.90,26.25,23-08-2023 13:48:20.829
0.98,1.85,26.60,23-08-2023 13:48:20.997
1.13,1.64,26.94,23-08-2023 13:48:21.182
1.17,2.86,27.39,23-08-2023 13:48:21.478
1.19,2.97,27.73,23-08-2023 13:48:21.545
1.28,1.98,28.00,23-08-2023 13:48:21.722
1.12,1.77,28.39,23-08-2023 13:48:21.910
1.02,2.42,28.72,23-08-2023 13:48:22.087
1.20,2.37,28.95,23-08-2023 13:48:22.291
1.22,1.78,29.28,23-08-2023 13:48:22.469
1.07,1.85,29.54,23-08-2023 13:48:22.647
0.97,2.02,29.73,23-08-2023 13:48:22.831
0.97,1.60,29.95,23-08-2023 13:48:23.013
1.02,2.51,30.13,23-08-2023 13:48:23.257
0.99,4.07,30.28,23-08-2023 13:48:23.390
1.08,2.94,30.44,23-08-2023 13:48:23.561
1.17,1.32,30.58,23-08-2023 13:48:23.753
1.15,2.23,30.71,23-08-2023 13:48:23.935
1.10,3.01,30.88,23-08-2023 13:48:24.111
1.01,1.80,30.99,23-08-2023 13:48:24.454
0.97,1.39,31.04,23-08-2023 13:48:24.466
1.13,2.44,31.15,23-08-2023 13:48:24.755
1.33,2.70,31.22,23-08-2023 13:48:24.873
1.27,1.71,31.26,23-08-2023 13:48:25.028
0.89,1.43,31.32,23-08-2023 13:48:25.369
0.81,2.80,31.36,23-08-2023 13:48:25.382
1.20,3.74,31.35,23-08-2023 13:48:26.705
1.34,2.73,31.33,23-08-2023 13:48:26.705
1.05,1.13,31.33,23-08-2023 13:48:26.706
0.90,1.69,31.38,23-08-2023 13:48:26.706
0.96,3.24,31.30,23-08-2023 13:48:26.706
0.97,2.24,31.17,23-08-2023 13:48:26.706
0.92,1.20,31.17,23-08-2023 13:48:26.741
1.13,2.49,31.17,23-08-2023 13:48:26.922
1.23,2.48,30.99,23-08-2023 13:48:27.049
1.12,1.36,30.85,23-08-2023 13:48:27.440
1.25,2.51,30.80,23-08-2023 13:48:27.441
1.35,3.84,30.62,23-08-2023 13:48:27.587
1.04,2.24,30.49,23-08-2023 13:48:27.779
0.91,0.69,30.46,23-08-2023 13:48:27.968
1.06,1.68,30.35,23-08-2023 13:48:28.160
1.00,2.84,30.20,23-08-2023 13:48:28.362
0.86,2.18,30.05,23-08-2023 13:48:28.639
0.78,1.45,30.01,23-08-2023 13:48:28.947
1.09,2.35,29.85,23-08-2023 13:48:28.948
1.43,3.37,29.58,23-08-2023 13:48:29.049
1.25,2.97,29.42,23-08-2023 13:48:29.246
0.95,2.01,29.33,23-08-2023 13:48:29.430
1.00,1.75,29.12,23-08-2023 13:48:29.618
1.09,1.94,28.93,23-08-2023 13:48:29.794
1.12,2.28,28.72,23-08-2023 13:48:29.993
1.15,2.41,28.47,23-08-2023 13:48:30.167
1.13,1.74,28.25,23-08-2023 13:48:30.372
1.06,2.03,28.06,23-08-2023 13:48:30.557
0.99,2.94,27.88,23-08-2023 13:48:31.104
1.00,2.51,27.67,23-08-2023 13:48:31.104
1.07,1.65,27.44,23-08-2023 13:48:31.105
1.13,2.17,27.30,23-08-2023 13:48:31.274
1.13,3.31,27.16,23-08-2023 13:48:31.450
1.10,2.80,26.89,23-08-2023 13:48:31.920
1.06,1.30,26.64,23-08-2023 13:48:31.920
0.84,1.72,26.47,23-08-2023 13:48:31.997
0.82,2.93,26.30,23-08-2023 13:48:32.185
1.10,2.13,26.06,23-08-2023 13:48:32.371
1.25,1.56,25.84,23-08-2023 13:48:32.944
1.15,3.27,25.66,23-08-2023 13:48:32.944
1.22,3.42,25.53,23-08-2023 13:48:32.945
1.43,1.42,25.31,23-08-2023 13:48:33.100
1.24,1.40,25.03,23-08-2023 13:48:33.275
0.96,2.87,24.87,23-08-2023 13:48:33.458
0.79,2.87,24.78,23-08-2023 13:48:33.762
0.82,1.68,24.64,23-08-2023 13:48:33.833
1.03,1.38,24.45,23-08-2023 13:48:34.014
1.23,2.09,24.23,23-08-2023 13:48:34.202
1.15,2.58,24.03,23-08-2023 13:48:34.382
1.12,2.41,23.79,23-08-2023 13:48:34.560
1.38,2.57,23.59,23-08-2023 13:48:34.745
1.30,3.05,23.50,23-08-2023 13:48:34.930
0.88,2.56,23.45,23-08-2023 13:48:35.115
0.83,1.21,23.28,23-08-2023 13:48:35.305
1.05,1.46,23.11,23-08-2023 13:48:35.526
1.09,3.12,23.02,23-08-2023 13:48:35.672
1.13,2.97,22.82,23-08-2023 13:48:35.845
1.18,1.70,22.65,23-08-2023 13:48:36.018
1.14,1.60,22.54,23-08-2023 13:48:36.211
1.20,2.39,22.28,23-08-2023 13:48:36.415
1.25,2.80,22.06,23-08-2023 13:48:36.588
1.04,2.43,21.98,23-08-2023 13:48:36.765
0.91,2.01,21.88,23-08-2023 13:48:36.932
1.08,2.27,21.74,23-08-2023 13:48:37.121
1.25,2.89,21.57,23-08-2023 13:48:37.318
1.25,2.23,21.35,23-08-2023 13:48:37.496
1.06,1.07,21.13,23-08-2023 13:48:37.674
0.84,1.91,20.92,23-08-2023 13:48:37.868
0.81,3.44,20.73,23-08-2023 13:48:38.048
0.97,3.05,20.61,23-08-2023 13:48:38.231
1.21,1.88,20.52,23-08-2023 13:48:38.413
1.37,1.96,20.33,23-08-2023 13:48:38.597
1.21,2.60,20.14,23-08-2023 13:48:38.766
0.98,2.07,19.99,23-08-2023 13:48:38.957
0.98,1.57,19.84,23-08-2023 13:48:39.150
1.08,2.11,19.66,23-08-2023 13:48:39.332
1.22,2.29,19.44,23-08-2023 13:48:39.514
1.18,1.81,19.15,23-08-2023 13:48:39.699
1.02,2.29,18.85,23-08-2023 13:48:39.870
1.00,3.39,18.66,23-08-2023 13:48:40.067
1.15,3.20,18.49,23-08-2023 13:48:40.243
1.35,2.09,18.25,23-08-2023 13:48:40.431
1.22,2.02,18.01,23-08-2023 13:48:40.632
0.95,2.42,17.80,23-08-2023 13:48:40.794
0.95,1.37,17.55,23-08-2023 13:48:40.979
1.01,0.80,17.24,23-08-2023 13:48:41.177
0.92,2.24,16.96,23-08-2023 13:48:41.563
1.00,3.39,16.68,23-08-2023 13:48:41.602
1.25,2.40,16.40,23-08-2023 13:48:41.745
1.30,1.60,16.07,23-08-2023 13:48:41.889
0.89,2.97,15.85,23-08-2023 13:48:42.076
0.77,3.91,15.75,23-08-2023 13:48:42.265
1.28,2.20,15.55,23-08-2023 13:48:42.465
1.56,0.77,15.21,23-08-2023 13:48:42.640
1.32,2.05,14.88,23-08-2023 13:48:42.834
1.14,2.95,14.59,23-08-2023 13:48:42.999
0.97,1.85,14.29,23-08-2023 13:48:43.190
0.82,1.16,14.02,23-08-2023 13:48:43.362
0.95,2.05,13.77,23-08-2023 13:48:43.556
1.23,3.08,13.52,23-08-2023 13:48:43.794
1.30,3.05,13.28,23-08-2023 13:48:43.912
1.08,2.54,13.06,23-08-2023 13:48:44.097
0.93,2.29,12.82,23-08-2023 13:48:44.267
1.06,2.07,12.55,23-08-2023 13:48:44.476
1.16,2.16,12.31,23-08-2023 13:48:44.652
1.12,2.19,12.03,23-08-2023 13:48:44.834
1.16,1.93,11.64,23-08-2023 13:48:45.010
1.12,2.23,11.30,23-08-2023 13:48:45.202
1.13,2.97,11.07,23-08-2023 13:48:45.380
1.25,2.93,10.87,23-08-2023 13:48:45.565
1.09,2.30,10.68,23-08-2023 13:48:45.746
1.02,1.66,10.47,23-08-2023 13:48:45.925
1.25,1.37,10.18,23-08-2023 13:48:46.340
1.34,2.14,9.85,23-08-2023 13:48:46.340
1.18,2.79,9.57,23-08-2023 13:48:46.484
0.98,2.37,9.31,23-08-2023 13:48:46.677
0.83,2.23,9.03,23-08-2023 13:48:46.870
0.79,2.93,8.85,23-08-2023 13:48:47.035
1.12,3.02,8.72,23-08-2023 13:48:47.286
1.41,2.57,8.56,23-08-2023 13:48:47.392
1.21,2.34,8.39,23-08-2023 13:48:47.573
0.98,2.08,8.28,23-08-2023 13:48:47.784
1.17,1.40,8.16,23-08-2023 13:48:47.965
1.51,0.94,7.94,23-08-2023 13:48:48.155
1.38,1.67,7.74,23-08-2023 13:48:48.316
1.10,2.76,7.59,23-08-2023 13:48:48.712
1.10,2.67,7.50,23-08-2023 13:48:48.712
0.88,2.19,7.52,23-08-2023 13:48:48.872
0.64,2.60,7.61,23-08-2023 13:48:49.222
0.89,3.19,7.82,23-08-2023 13:48:49.229
1.10,2.76,8.13,23-08-2023 13:48:49.531
1.10,1.93,8.43,23-08-2023 13:48:49.662
1.28,1.62,8.75,23-08-2023 13:48:49.796
1.40,1.83,9.24,23-08-2023 13:48:49.967
1.17,1.63,9.84,23-08-2023 13:48:50.146
1.00,1.36,10.46,23-08-2023 13:48:50.339
0.99,1.90,11.15,23-08-2023 13:48:50.520
0.88,2.55,11.94,23-08-2023 13:48:50.705
0.86,1.99,12.73,23-08-2023 13:48:50.891
0.94,1.66,13.61,23-08-2023 13:48:51.064
0.99,2.43,14.55,23-08-2023 13:48:51.256
1.16,2.55,15.40,23-08-2023 13:48:51.789
1.27,1.55,16.17,23-08-2023 13:48:51.803
0.98,1.45,16.88,23-08-2023 13:48:51.804
0.80,2.95,17.60,23-08-2023 13:48:51.994
1.08,3.62,18.45,23-08-2023 13:48:52.175
1.09,2.36,19.29,23-08-2023 13:48:52.383
0.84,1.66,20.09,23-08-2023 13:48:52.535
1.10,1.84,20.85,23-08-2023 13:48:52.714
1.30,1.25,21.60,23-08-2023 13:48:52.898
1.09,1.10,22.31,23-08-2023 13:48:53.079
1.04,1.83,22.99,23-08-2023 13:48:53.271
1.11,1.68,23.70,23-08-2023 13:48:53.446
1.05,0.85,24.29,23-08-2023 13:48:53.633
0.87,2.14,24.75,23-08-2023 13:48:53.811
