accelZ,Date
0.02,22-08-2023 14:21:25.588
-0.34,22-08-2023 14:21:25.768
0.64,22-08-2023 14:21:25.953
0.17,22-08-2023 14:21:26.135
0.03,22-08-2023 14:21:26.318
-0.18,22-08-2023 14:21:26.499
-0.65,22-08-2023 14:21:26.687
-0.12,22-08-2023 14:21:26.869
-0.06,22-08-2023 14:21:27.048
-0.28,22-08-2023 14:21:27.235
-0.21,22-08-2023 14:21:27.419
0.21,22-08-2023 14:21:27.603
0.31,22-08-2023 14:21:27.786
-0.53,22-08-2023 14:21:27.977
0.27,22-08-2023 14:21:28.156
-0.23,22-08-2023 14:21:28.341
0,22-08-2023 14:21:28.514
0,22-08-2023 14:21:28.703
-0.75,22-08-2023 14:21:28.885
0.07,22-08-2023 14:21:29.070
0.12,22-08-2023 14:21:29.253
-0.24,22-08-2023 14:21:29.437
-0.29,22-08-2023 14:21:29.614
-0.69,22-08-2023 14:21:29.798
0.11,22-08-2023 14:21:29.982
-0.21,22-08-2023 14:21:30.164
-0.03,22-08-2023 14:21:30.353
0.54,22-08-2023 14:21:30.538
0.19,22-08-2023 14:21:30.731
-0.81,22-08-2023 14:21:30.903
-0.18,22-08-2023 14:21:31.082
-0.12,22-08-2023 14:21:31.268
0.19,22-08-2023 14:21:31.452
0,22-08-2023 14:21:31.638
-0.09,22-08-2023 14:21:31.812
0.01,22-08-2023 14:21:31.997
-0.02,22-08-2023 14:21:32.181
-0.03,22-08-2023 14:21:32.364
-0.02,22-08-2023 14:21:32.548
-0.04,22-08-2023 14:21:32.731
0.02,22-08-2023 14:21:32.920
-0.13,22-08-2023 14:21:33.099
0,22-08-2023 14:21:33.286
-0.04,22-08-2023 14:21:33.465
0.12,22-08-2023 14:21:33.653
-0.25,22-08-2023 14:21:33.835
0.9,22-08-2023 14:21:34.015
0.3,22-08-2023 14:21:34.204
0.13,22-08-2023 14:21:34.381
0.04,22-08-2023 14:21:34.568
-0.05,22-08-2023 14:21:34.749
0.13,22-08-2023 14:21:34.938
-0.01,22-08-2023 14:21:35.119
-0.04,22-08-2023 14:21:35.303
